date,value
2010-01-01,19500
2010-06-01,19700
2010-12-01,19950
2011-01-01,21000
2011-06-01,20700
2011-12-01,20500
2012-01-01,20850
2012-06-01,21100
2012-12-01,20900
2013-01-01,21050
2013-06-01,21200
2013-12-01,21000
2014-01-01,20950
2014-06-01,21350
2014-12-01,21150
2015-01-01,21500
2015-06-01,22100
2015-12-01,22750
2016-01-01,22850
2016-06-01,22650
2016-12-01,22650
2017-01-01,22550
2017-06-01,22400
2017-12-01,22250
2018-01-01,22100
2018-06-01,23450
2018-12-01,23450
2019-01-01,23500
2019-06-01,23700
2019-12-01,23700
2020-01-01,23100
2020-06-01,23200
2020-12-01,23050
2021-01-01,23180
2021-06-01,23500
2021-12-01,23750
2022-01-01,24100
2022-06-01,24650
2022-12-01,24800
2023-01-01,24950
2023-06-01,25200
2023-12-01,25500
2024-01-01,25700
2024-06-01,26150
2024-12-01,26800
2025-01-01,27200
2025-06-01,27550
2025-12-01,27800
2026-03-27,27870
