date,value
2020-01-01,0.75
2020-02-01,0.75
2020-03-01,0.25
2020-04-01,0.10
2020-05-01,0.10
2020-06-01,0.10
2020-07-01,0.10
2020-08-01,0.10
2020-09-01,0.10
2020-10-01,0.10
2020-11-01,0.10
2020-12-01,0.10
2021-01-01,0.10
2021-02-01,0.10
2021-03-01,0.10
2021-04-01,0.10
2021-05-01,0.10
2021-06-01,0.10
2021-07-01,0.10
2021-08-01,0.10
2021-09-01,0.10
2021-10-01,0.10
2021-11-01,0.10
2021-12-01,0.10
2022-01-01,0.10
2022-02-01,0.10
2022-03-01,0.50
2022-04-01,0.75
2022-05-01,1.00
2022-06-01,1.25
2022-07-01,1.50
2022-08-01,1.75
2022-09-01,2.25
2022-10-01,2.25
2022-11-01,3.00
2022-12-01,3.50
2023-01-01,3.50
2023-02-01,4.00
2023-03-01,4.25
2023-04-01,4.25
2023-05-01,4.50
2023-06-01,5.00
2023-07-01,5.25
2023-08-01,5.25
2023-09-01,5.25
2023-10-01,5.25
2023-11-01,5.25
2023-12-01,5.25
2024-01-01,5.25
2024-02-01,5.25
2024-03-01,5.25
2024-04-01,5.25
2024-05-01,5.25
2024-06-01,5.00
2024-07-01,5.00
2024-08-01,5.00
2024-09-01,5.00
2024-10-01,4.75
2024-11-01,4.75
2024-12-01,4.75
2025-01-01,4.75
2025-02-01,4.75
2025-03-01,4.75
2025-04-01,4.50
2025-05-01,4.50
2025-06-01,4.50
2025-07-01,4.25
2025-08-01,4.25
2025-09-01,4.00
2025-10-01,3.75
2025-11-01,3.75
2025-12-01,3.50
2026-01-01,3.50
2026-02-01,3.25
2026-03-01,3.25
