date,value
2010-01-01,0.50
2010-06-01,0.50
2010-12-01,0.50
2011-01-01,0.50
2011-06-01,0.50
2011-12-01,0.50
2012-01-01,0.50
2012-06-01,0.50
2012-12-01,0.50
2013-01-01,0.50
2013-06-01,0.50
2013-12-01,0.50
2014-01-01,0.50
2014-06-01,0.50
2014-12-01,0.50
2015-01-01,0.50
2015-06-01,0.50
2015-12-01,0.50
2016-01-01,0.50
2016-02-01,0.25
2016-06-01,0.25
2016-12-01,0.25
2017-01-01,0.25
2017-06-01,0.25
2017-12-01,0.50
2018-01-01,0.50
2018-06-01,0.75
2018-12-01,0.75
2019-01-01,0.75
2019-06-01,0.75
2019-12-01,0.75
2020-01-01,0.75
2020-02-01,0.25
2020-03-01,0.10
2020-06-01,0.10
2020-12-01,0.10
2021-01-01,0.10
2021-06-01,0.10
2021-12-01,0.10
2022-01-01,0.10
2022-03-01,0.50
2022-06-01,1.25
2022-09-01,2.25
2022-12-01,3.50
2023-01-01,3.50
2023-02-01,4.00
2023-06-01,5.00
2023-12-01,5.25
2024-01-01,5.25
2024-06-01,5.25
2024-09-01,5.25
2024-12-01,4.75
2025-01-01,4.75
2025-06-01,4.50
2025-12-01,3.50
2026-01-01,3.50
2026-02-01,3.25
2026-04-01,3.25
