date,value
2010-01-01,0.09
2010-06-01,0.09
2010-12-01,0.09
2011-01-01,0.09
2011-06-01,0.09
2011-12-01,0.09
2012-01-01,0.09
2012-06-01,0.09
2012-12-01,0.09
2013-01-01,0.09
2013-06-01,0.09
2013-12-01,0.09
2014-01-01,0.09
2014-06-01,0.09
2014-12-01,0.09
2015-01-01,0.09
2015-06-01,0.09
2015-12-01,0.09
2016-01-01,0.09
2016-06-01,0.09
2016-12-01,0.09
2017-01-01,0.09
2017-06-01,0.09
2017-12-01,0.09
2018-01-01,0.09
2018-06-01,0.09
2018-12-01,0.09
2019-01-01,0.09
2019-06-01,0.09
2019-12-01,0.09
2020-01-01,0.09
2020-06-01,0.09
2020-12-01,0.09
2021-01-01,0.09
2021-06-01,0.09
2021-12-01,0.09
2022-01-01,0.09
2022-06-01,0.09
2022-12-01,0.09
2023-01-01,0.09
2023-06-01,0.10
2023-12-01,0.10
2024-01-01,0.10
2024-02-01,0.10
2024-03-01,0.10
2024-04-01,0.10
2024-05-01,0.10
2024-06-01,0.10
2024-07-01,0.10
2024-08-01,0.10
2024-09-01,0.10
2024-10-01,0.42
2024-11-01,0.42
2024-12-01,0.42
2025-01-01,0.42
2025-02-01,0.42
2025-03-01,0.42
2025-04-01,0.42
2025-05-01,0.42
2025-06-01,0.42
2025-07-01,0.41
2025-08-01,0.41
2025-09-01,0.41
2025-10-01,0.41
2025-11-01,0.40
2025-12-01,0.40
2026-01-01,0.40
2026-02-01,0.40
2026-03-01,0.40
2026-04-01,0.40
