date,value
2010-01-01,30.5
2011-01-01,31.2
2012-01-01,32.8
2013-01-01,33.5
2014-01-01,34.2
2015-01-01,34.0
2016-01-01,33.8
2017-01-01,34.5
2018-01-01,35.2
2018-06-01,36.8
2018-12-01,36.2
2019-01-01,35.8
2019-06-01,37.5
2019-12-01,38.2
2020-01-01,38.5
2020-03-01,36.8
2020-06-01,39.2
2020-12-01,40.5
2021-01-01,41.2
2021-03-01,42.8
2021-06-01,43.5
2021-09-01,44.2
2021-12-01,45.8
2022-01-01,46.5
2022-03-01,47.2
2022-06-01,48.5
2022-12-01,47.2
2023-01-01,46.8
2023-03-01,47.5
2023-06-01,48.2
2023-09-01,49.5
2023-12-01,50.2
2024-01-01,50.8
2024-02-01,51.2
2024-03-01,51.8
2024-04-01,52.2
2024-05-01,52.8
2024-06-01,53.2
2024-07-01,53.8
2024-08-01,54.2
2024-09-01,54.5
2024-10-01,54.8
2024-11-01,55.2
2024-12-01,55.8
2025-01-01,56.2
2025-02-01,56.8
2025-03-01,57.2
2025-04-01,57.5
2025-05-01,57.8
2025-06-01,58.2
2025-07-01,58.5
2025-08-01,58.8
2025-09-01,59.2
2025-10-01,59.5
2025-11-01,59.8
2025-12-01,60.2
2026-01-01,60.5
2026-02-01,60.8
2026-03-01,61.2
